trade_date,Open,High,Low,Close,Volume
2026-02-11,233.37,234.37,230.02,232.6,53608.2
2026-02-12,234.04,235.51,226.66,231.36,90315.79
2026-02-13,229.9,237.02,228.88,231.02,80114.92
2026-02-24,233.93,236.39,227.7,236.05,99058.32
2026-02-25,235.58,252.29,227.92,247.52,176652.93
2026-02-26,246.45,250.39,238.73,246.31,116527.36
2026-02-27,242.29,242.34,235.38,236.49,98528.47
2026-03-02,233.72,245.84,232.73,234.13,106793.89
2026-03-03,234.72,237.99,223.18,223.65,110987.82
2026-03-04,220.63,227.07,220.18,223.14,67463.35
2026-03-05,228.01,234.64,224.99,228.33,94851.31
2026-03-06,226.66,232.03,224.87,225.52,67291.16
2026-03-09,219.29,219.29,211.27,217.08,113507.53
2026-03-10,222.64,226.31,217.44,219.48,91038.55
2026-03-11,217.95,219.11,212.58,214.79,95988.35
2026-03-12,214.59,218.81,210.12,211.46,72845.5
2026-03-13,209.32,212.1,207.26,209.85,66910.22
2026-03-16,211.23,215.56,203.26,215.11,108613.87
2026-03-17,213.79,217.87,209.76,209.9,78427.67
2026-03-18,211.24,216.19,210.57,215.22,89184.96
2026-03-19,211.91,213.84,209.56,210.64,58669.71
2026-03-20,211.69,214.53,207.11,207.42,86018.57
2026-03-23,203.19,207.17,197.86,199.5,101173.89
2026-03-24,202.52,204.2,196.94,201.48,84297.18
2026-03-25,204.53,211.15,203.26,208.95,86426.74
2026-03-26,206.89,208.95,204.54,205.2,59026.27
2026-03-27,202.11,208.42,200.86,204.94,65321.24
2026-03-30,203.21,216.08,201.86,212.41,103699.97
2026-03-31,213.25,216.59,205.26,205.46,80953.68
2026-04-01,210.79,213.84,208.31,210.26,74211.69
2026-04-02,209.23,209.23,198.52,200.64,86839.08
2026-04-03,203.51,203.51,196.04,196.82,58920.48
2026-04-07,197.16,201.37,196.04,196.89,59464.93
2026-04-08,204.53,216.1,204.2,213.04,158120.92
2026-04-09,210.59,220.89,208.58,215.46,131580.51
2026-04-10,218.82,222.39,216.55,217.27,92570.79
2026-04-13,215.93,216.93,211.7,212.3,93633.64
2026-04-14,215.65,221.14,214.63,217.61,127950.09
2026-04-15,219.92,224.42,213.92,214.83,137645.63
2026-04-16,216.67,217.61,211.91,213.59,105011.67
2026-04-17,212.25,214.79,207.35,210.57,138602.3
2026-04-20,207.6,212.92,203.78,210.26,113499.32
2026-04-21,211.14,211.21,204.92,207.14,95883.94
2026-04-22,207.14,215.12,206.67,214.59,153355.62
2026-04-23,215.93,217.14,208.56,211.27,117909.3
2026-04-24,212.58,219.82,207.55,216.86,172672.06
2026-04-27,220.71,238.06,216.46,236.06,262270.6
2026-04-28,236.74,250.21,236.73,242.94,213023.8
2026-04-29,240.69,244.1,234.4,241.26,144079.25
2026-04-30,241.42,254.16,238.43,252.35,191653.85
2026-05-06,268.24,276.44,255.63,257.04,237891.59
2026-05-07,261.53,263.55,253.0,257.91,170079.69
2026-05-08,254.83,259.36,245.87,248.12,175410.17
2026-05-11,252.85,263.77,248.99,257.27,229065.68
2026-05-12,257.51,266.08,251.05,260.49,187768.47
2026-05-13,252.15,274.63,250.8,272.0,207028.06
2026-05-14,273.59,274.66,259.53,259.64,157782.97
2026-05-15,263.79,311.16,248.11,290.3,380980.98
2026-05-18,295.73,309.74,291.72,294.23,279792.39
2026-05-19,289.81,321.89,287.08,321.56,300379.68
2026-05-20,318.54,333.96,315.18,328.82,293147.5
2026-05-21,329.01,357.65,317.19,319.07,365298.6
2026-05-22,321.89,324.12,303.11,314.91,297067.96
2026-05-25,304.02,329.92,293.72,325.44,363979.18
2026-05-26,318.94,321.89,303.21,310.83,246820.54
2026-05-27,311.13,326.38,304.1,305.16,229387.72
2026-05-28,304.39,307.73,295.76,303.86,209929.26
2026-05-29,305.99,306.58,287.0,297.68,301355.2
2026-06-01,290.0,291.73,271.5,273.0,325731.67
2026-06-02,278.46,286.32,268.44,282.8,269236.12
2026-06-03,281.99,296.74,278.8,285.92,332413.8
2026-06-04,280.99,295.88,280.88,289.39,225784.4
2026-06-05,281.74,287.65,274.54,276.0,219733.17
2026-06-08,265.2,272.88,261.6,265.47,211047.33
2026-06-09,272.09,286.0,270.6,285.04,212812.69
2026-06-10,282.89,306.0,282.0,289.11,296079.41
2026-06-11,299.99,303.86,292.0,303.12,275032.46
2026-06-12,318.27,324.9,303.9,303.92,398066.94
2026-06-15,309.99,319.98,299.17,319.98,258421.73
2026-06-16,319.98,323.7,313.39,319.0,205014.54
2026-06-17,314.0,351.88,312.17,351.0,313378.7
2026-06-18,350.0,368.0,345.0,360.0,261447.97
2026-06-22,371.99,385.0,358.0,372.74,283319.26
2026-06-23,372.74,388.5,364.5,371.72,331535.61
2026-06-24,362.5,395.0,359.3,383.0,311931.96
2026-06-25,388.01,412.5,388.01,399.13,296757.2
2026-06-26,397.0,423.8,393.24,413.0,319523.25
2026-06-29,419.19,459.0,419.19,456.69,408099.33
2026-06-30,457.0,474.07,446.1,468.5,350683.11
2026-07-01,460.01,500.0,452.96,462.0,353345.0
2026-07-02,428.5,444.5,407.0,408.9,436399.54
2026-07-03,396.21,428.68,392.0,413.69,338122.8
2026-07-06,424.96,427.77,392.45,420.0,300174.56
2026-07-07,408.0,430.13,401.56,420.04,247776.45
2026-07-08,420.0,439.31,402.0,423.0,271526.89
2026-07-09,433.99,474.5,430.0,471.59,339454.58
2026-07-10,471.59,492.05,434.0,434.51,379947.1
2026-07-13,421.47,443.6,402.03,408.6,363807.64
2026-07-14,400.43,415.0,379.0,405.3,356429.93
2026-07-15,414.0,414.8,385.85,391.29,261112.92
2026-07-16,383.18,391.0,359.09,361.42,318691.35
2026-07-17,364.62,368.04,341.86,350.69,371244.23
2026-07-20,355.0,361.97,332.99,342.5,366846.52
2026-07-21,352.97,409.0,341.02,407.89,449914.12
2026-07-22,395.34,408.0,381.2,392.99,347054.94
2026-07-23,398.97,399.0,367.0,375.2,263213.32
2026-07-24,370.0,396.0,363.56,388.5,264433.25
2026-07-27,388.48,405.0,370.08,399.77,246204.08
2026-07-28,388.0,405.73,376.8,383.0,254357.93
2026-07-29,390.37,391.54,340.11,360.0,378287.03
2026-07-30,350.01,363.8,335.0,346.5,339687.27
2026-07-31,389.0,389.0,344.0,344.0,327113.68
2026-08-03,340.47,342.0,308.12,309.85,352777.9
2026-08-04,312.78,327.13,305.23,317.74,312976.52
2026-08-05,322.72,365.8,322.0,358.0,379939.61
2026-08-06,348.0,373.44,347.55,361.59,294241.21
2026-08-07,360.84,369.58,356.1,367.65,226968.82
2026-08-10,369.5,389.99,366.77,389.99,287317.52
