trade_date,Open,High,Low,Close,Volume
2026-02-13,57.9,57.9,56.28,56.47,219233.85
2026-02-24,63.93,67.43,63.37,65.63,576366.28
2026-02-25,67.65,68.5,65.06,65.63,534557.81
2026-02-26,63.99,65.86,62.55,65.61,386635.0
2026-02-27,63.77,65.28,61.68,62.77,364272.58
2026-03-02,62.57,64.54,62.3,62.67,349270.31
2026-03-03,62.67,63.37,59.1,59.46,370462.63
2026-03-04,58.73,60.24,58.3,58.75,226066.5
2026-03-05,60.28,60.46,58.08,58.67,246760.2
2026-03-06,58.22,59.49,57.21,58.59,242944.78
2026-03-09,56.62,57.0,54.23,56.68,311749.48
2026-03-10,58.2,60.05,57.9,59.2,283623.23
2026-03-11,58.79,59.67,57.5,57.78,236708.72
2026-03-12,57.4,57.55,54.51,55.94,309464.11
2026-03-13,55.52,55.72,54.25,54.5,229590.63
2026-03-16,54.32,54.81,52.88,54.77,202425.38
2026-03-17,55.29,56.17,53.92,54.51,319452.25
2026-03-18,55.3,56.87,55.01,55.82,273973.18
2026-03-19,54.51,56.74,54.14,55.66,253592.55
2026-03-20,56.01,56.31,54.03,54.22,232599.24
2026-03-23,52.97,53.25,50.44,50.85,308603.32
2026-03-24,51.76,53.99,51.09,53.96,287257.76
2026-03-25,54.17,55.9,53.85,55.29,207641.97
2026-03-26,54.75,55.69,54.61,54.91,141898.87
2026-03-27,53.98,55.5,53.27,54.55,160030.94
2026-03-30,52.72,54.08,51.88,53.82,204913.83
2026-03-31,53.82,54.49,52.37,52.57,150665.63
2026-04-01,54.22,55.29,53.78,54.25,166264.71
2026-04-02,54.14,54.24,52.45,52.9,120119.69
2026-04-03,53.2,55.06,52.72,54.55,183649.59
2026-04-07,54.91,56.63,54.47,56.39,245657.93
2026-04-08,57.7,58.47,56.35,58.09,295898.02
2026-04-09,57.22,58.99,56.93,58.28,196309.38
2026-04-10,58.99,60.84,58.83,59.31,313038.1
2026-04-13,58.33,61.58,58.33,61.18,255622.7
2026-04-14,68.8,70.13,63.44,64.27,440917.86
2026-04-15,66.55,67.21,63.68,64.98,384347.87
2026-04-16,64.66,65.49,63.9,64.73,239296.66
2026-04-17,64.57,65.62,63.99,64.83,215657.49
2026-04-20,64.38,65.69,62.85,63.16,255837.18
2026-04-21,64.14,66.55,63.77,65.75,300801.47
2026-04-22,65.12,67.65,65.04,66.65,260594.36
2026-04-23,67.65,70.77,67.15,69.74,435766.22
2026-04-24,71.73,76.4,71.73,74.6,477906.16
2026-04-27,74.61,76.2,73.5,75.32,393931.94
2026-04-28,75.17,82.53,74.91,81.25,532667.31
2026-04-29,80.86,83.22,79.29,81.58,291475.13
2026-04-30,82.13,86.85,81.57,85.25,423332.4
2026-05-06,85.05,86.54,81.42,84.56,420589.93
2026-05-07,85.55,88.19,84.9,86.53,367168.81
2026-05-08,84.06,86.16,83.26,85.85,340803.19
2026-05-11,87.58,91.5,85.88,88.22,319369.25
2026-05-12,89.8,90.25,86.7,88.21,236248.18
2026-05-13,87.45,91.79,86.96,90.69,338964.52
2026-05-14,91.9,92.29,87.95,88.39,264184.82
2026-05-15,88.51,90.28,84.85,85.7,333375.21
2026-05-18,85.06,90.3,84.64,87.9,316746.52
2026-05-19,89.55,97.8,88.71,96.54,521739.7
2026-05-20,96.3,97.09,91.5,95.96,372152.66
2026-05-21,98.99,105.0,98.42,98.47,503858.63
2026-05-22,104.99,118.0,104.68,115.0,823683.76
2026-05-25,121.0,123.0,114.0,115.35,899258.67
2026-05-26,113.0,117.58,109.38,116.93,785030.21
2026-05-27,119.03,129.28,119.03,122.99,791478.79
2026-05-28,126.0,135.0,123.0,132.11,991669.96
2026-05-29,132.0,132.0,125.3,128.78,661593.99
2026-06-01,125.0,137.13,124.62,125.63,782608.85
2026-06-02,122.0,138.18,120.02,134.46,878183.74
2026-06-03,134.79,137.71,129.38,134.89,703100.3
2026-06-04,131.77,141.0,127.0,139.03,740527.49
2026-06-05,136.0,142.9,130.0,134.83,782508.63
2026-06-08,130.78,132.56,121.52,122.92,921088.41
2026-06-09,126.43,144.0,123.39,141.02,854750.05
2026-06-10,135.5,137.85,130.0,132.0,537341.27
2026-06-11,132.55,140.66,129.5,131.63,548530.78
2026-06-12,136.38,136.82,125.2,126.5,602745.51
2026-06-15,133.6,151.79,131.11,150.25,831019.84
2026-06-16,150.1,157.08,149.01,150.22,888017.09
2026-06-17,150.0,159.0,148.36,155.46,809404.32
2026-06-18,155.47,166.66,154.23,157.89,771286.98
2026-06-22,161.04,164.98,150.0,156.11,776828.9
2026-06-23,155.75,155.8,143.97,145.5,678132.2
2026-06-24,144.81,150.23,142.2,145.26,685009.48
2026-06-25,150.19,165.0,147.0,163.62,887910.98
2026-06-26,157.11,164.49,154.9,160.05,748156.76
2026-06-29,170.0,180.35,160.58,166.69,914292.37
2026-06-30,167.0,171.22,157.0,166.9,744854.48
2026-07-01,175.45,177.77,165.01,170.46,739563.23
2026-07-02,161.85,163.65,146.07,148.2,888723.86
2026-07-03,147.98,154.19,138.36,144.89,664843.73
2026-07-06,148.5,154.1,139.03,141.73,761127.96
2026-07-07,140.0,146.29,136.0,140.0,530736.98
2026-07-08,141.18,142.99,129.38,130.43,858976.2
2026-07-09,132.0,134.5,124.21,133.81,816221.0
2026-07-10,136.11,144.49,126.17,127.05,734356.31
2026-07-13,125.0,125.95,109.2,111.8,1004154.63
2026-07-14,111.49,123.0,110.12,121.88,735363.78
2026-07-15,125.12,125.67,113.47,114.6,526907.66
2026-07-16,110.67,114.47,105.6,106.86,572327.87
2026-07-17,106.61,107.54,95.4,99.01,767772.93
2026-07-20,102.84,104.0,87.8,91.02,844034.02
2026-07-21,95.5,107.7,86.03,107.54,1018947.85
2026-07-22,107.61,110.88,101.0,102.98,876499.65
2026-07-23,107.17,112.2,104.62,105.55,793028.38
2026-07-24,102.49,103.6,99.03,100.84,522270.81
2026-07-27,102.65,113.38,100.48,111.57,739511.3
2026-07-28,107.29,108.18,99.68,100.83,646125.93
2026-07-29,102.85,110.5,102.85,108.89,940890.61
2026-07-30,111.02,113.98,99.0,105.3,1112755.02
2026-07-31,121.0,121.54,111.51,111.68,1049501.59
2026-08-03,111.8,116.1,110.0,114.0,723398.0
2026-08-04,112.0,124.1,109.11,120.98,791284.13
2026-08-05,117.9,134.43,117.9,128.19,782652.2
2026-08-06,124.0,129.65,120.8,127.0,767691.45
2026-08-07,124.59,133.0,120.33,127.39,840246.9
2026-08-10,126.0,130.0,120.02,126.9,802969.74
2026-08-11,123.0,137.77,123.0,130.05,902245.94
2026-08-12,126.99,131.0,124.1,127.97,573457.81
