trade_date,Open,High,Low,Close,Volume
2026-02-13,22.27,22.32,21.23,21.24,587053.66
2026-02-24,23.36,23.36,23.36,23.36,273507.78
2026-02-25,25.0,25.7,24.67,25.7,1736651.54
2026-02-26,25.29,26.53,24.67,25.69,2373109.32
2026-02-27,25.46,26.71,25.11,25.96,1705235.97
2026-03-02,25.37,27.46,25.37,26.46,1879666.62
2026-03-03,26.41,26.41,23.81,23.81,1627051.03
2026-03-04,23.09,24.66,23.05,23.86,1118394.52
2026-03-05,24.53,24.53,23.41,23.71,912117.96
2026-03-06,23.71,24.06,22.79,23.71,702971.6
2026-03-09,23.35,23.46,22.09,22.97,830952.49
2026-03-10,23.52,24.04,23.26,23.85,853825.25
2026-03-11,23.71,24.4,23.26,23.36,823294.43
2026-03-12,23.36,23.46,21.9,22.47,852130.03
2026-03-13,22.21,22.35,21.56,21.67,621848.5
2026-03-16,21.67,21.99,21.14,21.92,509889.79
2026-03-17,22.06,22.84,21.28,22.37,1021637.87
2026-03-18,22.61,22.94,22.05,22.47,915939.26
2026-03-19,21.83,22.89,21.37,22.5,921302.38
2026-03-20,22.33,22.55,21.13,21.26,664261.95
2026-03-23,20.57,20.77,19.37,19.55,788329.8
2026-03-24,19.85,20.13,19.07,20.07,607790.84
2026-03-25,20.27,20.62,19.87,20.12,541808.15
2026-03-26,20.02,20.2,19.3,19.4,404993.29
2026-03-27,18.97,19.75,18.88,19.58,383916.26
2026-03-30,19.17,19.37,18.81,19.33,416986.44
2026-03-31,19.28,19.65,18.87,18.9,328187.66
2026-04-01,19.36,19.58,19.2,19.49,360393.93
2026-04-02,19.36,19.37,18.38,18.59,385079.1
2026-04-03,18.69,18.84,18.47,18.58,284210.24
2026-04-07,18.67,18.89,18.41,18.52,227590.1
2026-04-08,19.16,20.38,19.16,19.8,1023888.22
2026-04-09,19.62,20.0,19.47,19.7,450046.2
2026-04-10,19.93,20.3,19.92,19.93,558066.57
2026-04-13,19.78,20.65,19.75,20.46,552117.03
2026-04-14,20.95,21.11,20.42,20.81,608592.23
2026-04-15,21.38,21.77,20.87,21.01,754321.17
2026-04-16,21.03,22.37,21.01,22.19,922541.37
2026-04-17,21.97,22.26,21.8,21.96,565344.06
2026-04-20,21.98,22.76,21.84,22.14,636726.97
2026-04-21,21.63,22.44,21.38,22.16,532958.4
2026-04-22,21.97,22.56,21.86,22.45,486663.08
2026-04-23,22.47,22.55,21.65,22.13,539410.44
2026-04-24,21.98,23.13,21.98,22.69,921418.05
2026-04-27,23.38,23.95,22.87,23.25,848895.8
2026-04-28,23.04,24.95,22.83,24.4,1189712.95
2026-04-29,23.8,25.84,23.54,25.24,1146355.91
2026-04-30,25.47,25.54,24.5,25.05,928123.3
2026-05-06,25.46,25.54,24.67,24.77,863290.54
2026-05-07,24.86,25.46,24.72,25.11,653213.58
2026-05-08,24.76,26.14,24.48,25.83,905667.98
2026-05-11,26.34,28.42,26.16,28.42,724313.94
2026-05-12,28.93,29.8,27.99,29.4,1385176.27
2026-05-13,28.84,29.72,28.56,29.52,877355.79
2026-05-14,29.91,30.15,28.15,28.17,747808.02
2026-05-15,28.26,28.66,26.66,26.96,708014.92
2026-05-18,26.73,29.65,26.73,29.38,1202018.3
2026-05-19,29.55,32.32,28.99,32.32,719349.65
2026-05-20,33.45,34.9,32.95,33.95,1735898.31
2026-05-21,34.82,36.13,33.96,34.15,1336046.6
2026-05-22,36.83,37.56,36.15,37.56,313716.85
2026-05-25,41.32,41.32,41.32,41.32,87204.05
2026-05-26,42.05,43.43,40.12,41.64,2645573.38
2026-05-27,41.93,44.92,41.66,44.15,2091079.05
2026-05-28,44.53,48.56,44.43,48.56,1530832.54
2026-05-29,51.74,53.42,49.47,52.95,2295433.95
2026-06-01,48.9,58.17,48.9,54.96,2583335.93
2026-06-02,53.4,60.47,52.42,59.82,1899665.87
2026-06-03,59.0,61.57,56.71,60.45,2024524.13
2026-06-04,58.71,64.49,58.71,63.4,1678702.8
2026-06-05,59.91,62.07,57.87,59.56,1692663.21
2026-06-08,58.67,59.91,54.47,55.44,1699827.57
2026-06-09,55.71,60.99,53.78,60.99,1589081.37
2026-06-10,62.81,63.89,58.52,59.72,1726186.36
2026-06-11,59.92,65.69,59.41,64.2,1831329.45
2026-06-12,66.4,66.4,57.78,59.03,2169141.69
2026-06-15,61.4,64.93,60.61,64.93,1438220.78
2026-06-16,68.13,71.42,67.89,70.5,1795432.42
2026-06-17,69.87,73.98,68.77,73.95,1645583.4
2026-06-18,71.39,75.98,71.11,74.48,1363386.66
2026-06-22,74.49,75.63,70.22,72.87,1566961.83
2026-06-23,71.3,71.77,66.56,70.1,1272864.04
2026-06-24,69.4,73.39,68.89,72.27,1306556.07
2026-06-25,72.99,79.5,70.89,79.5,1450513.12
2026-06-26,77.38,80.41,77.22,78.38,1419856.62
2026-06-29,78.41,83.87,76.96,80.15,1465205.35
2026-06-30,72.13,72.13,72.13,72.13,447226.0
2026-07-01,74.86,76.68,69.39,74.28,1152951.04
2026-07-02,69.71,71.06,66.86,66.86,862331.37
2026-07-03,65.4,68.57,61.18,63.13,906755.64
2026-07-06,64.89,65.68,58.21,58.41,815528.09
2026-07-07,57.7,62.9,55.92,61.17,819713.78
2026-07-08,61.77,62.98,57.41,60.61,745416.55
2026-07-09,61.79,64.9,59.07,64.45,938221.73
2026-07-10,64.7,66.28,60.0,60.01,1044726.53
2026-07-13,56.0,57.5,54.01,54.01,222909.63
2026-07-14,52.12,59.41,50.23,59.41,1330266.41
2026-07-15,59.41,59.5,53.47,54.5,1091113.63
2026-07-16,52.91,56.05,50.67,51.7,931636.77
2026-07-17,51.0,52.3,46.53,46.53,894492.89
2026-07-20,46.53,47.3,41.88,41.88,821559.94
