trade_date,Open,High,Low,Close,Volume
2026-02-13,22.59,22.71,22.25,22.26,2054684.99
2026-02-24,22.38,22.46,22.22,22.3,1412137.7
2026-02-25,22.36,22.78,22.32,22.63,2559643.72
2026-02-26,22.58,22.59,22.32,22.39,1891532.49
2026-02-27,22.35,22.56,22.26,22.41,1766811.73
2026-03-02,22.15,22.21,21.79,21.84,2826771.52
2026-03-03,21.82,22.22,21.51,21.53,2907619.29
2026-03-04,21.32,21.44,20.85,20.92,2885489.13
2026-03-05,21.22,21.24,20.89,20.99,2128067.78
2026-03-06,20.9,21.53,20.86,21.45,2338195.64
2026-03-09,21.05,21.23,20.92,21.12,1973013.65
2026-03-10,21.31,21.45,21.15,21.25,1611209.63
2026-03-11,21.24,21.48,21.14,21.36,1803025.04
2026-03-12,21.27,21.42,21.14,21.25,1517371.48
2026-03-13,21.19,21.35,20.96,21.0,1766135.01
2026-03-16,20.99,21.12,20.84,21.1,1447070.74
2026-03-17,21.19,21.96,21.15,21.45,4200421.74
2026-03-18,21.34,21.44,21.2,21.4,1857578.57
2026-03-19,21.23,21.49,21.14,21.22,2174638.22
2026-03-20,21.09,21.11,20.11,20.11,4774624.0
2026-03-23,19.68,19.95,19.46,19.51,3141249.97
2026-03-24,19.77,19.86,19.45,19.67,2088911.79
2026-03-25,19.65,20.05,19.63,19.8,2251418.38
2026-03-26,19.71,19.72,19.01,19.03,2794389.66
2026-03-27,18.84,19.29,18.8,19.11,1814799.53
2026-03-30,18.83,19.05,18.74,18.98,1584572.78
2026-03-31,18.98,19.27,18.76,18.8,1692907.27
2026-04-01,19.1,19.19,18.99,19.09,1729786.86
2026-04-02,19.02,19.03,18.59,18.66,1797448.08
2026-04-03,18.73,18.78,18.39,18.39,1383923.67
2026-04-07,18.42,18.52,18.26,18.36,1233647.83
2026-04-08,18.81,19.49,18.71,19.39,3911372.15
2026-04-09,19.05,19.06,18.82,18.86,2104107.57
2026-04-10,19.12,20.36,19.12,19.66,5970106.43
2026-04-13,19.42,20.15,19.4,19.91,3459851.59
2026-04-14,20.09,20.18,19.74,20.05,2689217.54
2026-04-15,20.19,20.24,19.7,19.75,2181631.62
2026-04-16,19.84,20.15,19.76,19.96,2361668.33
2026-04-17,19.85,20.05,19.7,19.94,2157491.28
2026-04-20,19.95,20.14,19.82,20.05,2155679.25
2026-04-21,20.04,20.13,19.82,19.94,1729477.68
2026-04-22,19.86,20.36,19.82,20.18,2839823.82
2026-04-23,20.1,20.23,19.79,19.89,2339841.57
2026-04-24,19.85,19.85,19.55,19.7,1787523.02
2026-04-27,19.84,20.2,19.78,19.98,2222895.61
2026-04-28,19.9,20.46,19.9,20.16,3494785.13
2026-04-29,20.02,20.32,20.0,20.26,2479666.3
2026-04-30,20.25,20.95,20.19,20.36,3626369.73
2026-05-06,20.4,21.03,20.4,20.85,4274763.98
2026-05-07,21.0,21.05,20.55,20.73,3378852.28
2026-05-08,20.6,20.74,20.39,20.49,2320829.55
2026-05-11,20.45,21.35,20.44,21.28,5811920.67
2026-05-12,21.14,21.6,21.01,21.27,4099230.87
2026-05-13,21.12,21.24,20.81,21.08,3750097.48
2026-05-14,21.09,21.2,20.17,20.18,3864283.37
2026-05-15,20.17,20.33,19.67,19.73,3695445.48
2026-05-18,19.6,20.01,19.56,19.77,2211135.23
2026-05-19,19.78,19.95,19.38,19.9,2679893.89
2026-05-20,19.78,19.91,19.61,19.67,1857496.87
2026-05-21,19.85,21.03,19.83,19.98,7221721.44
2026-05-22,19.96,20.09,19.36,19.5,4295945.28
2026-05-25,19.72,20.25,19.58,19.87,3357935.12
2026-05-26,19.68,20.28,19.58,20.05,4221818.72
2026-05-27,19.8,20.19,19.58,19.61,3260433.29
2026-05-28,19.51,19.55,18.96,19.19,3414909.1
2026-05-29,19.2,19.73,19.16,19.16,3719590.24
2026-06-01,19.05,19.27,18.85,18.97,2445989.76
2026-06-02,18.91,19.09,18.65,18.91,2668461.77
2026-06-03,18.8,19.21,18.65,18.91,2940305.42
2026-06-04,18.79,19.07,18.55,18.74,2243925.82
2026-06-05,18.76,18.95,18.5,18.52,2553012.96
2026-06-08,18.28,18.63,17.7,17.72,3484449.93
2026-06-09,17.73,17.93,17.5,17.88,2258589.78
2026-06-10,17.77,17.95,17.55,17.78,2328147.39
2026-06-11,17.65,17.88,17.22,17.36,2570704.15
2026-06-12,17.49,18.23,17.37,18.0,4736928.38
2026-06-15,18.0,19.48,17.95,18.89,6256218.6
2026-06-16,18.7,19.46,18.69,19.12,4580802.4
2026-06-17,19.04,19.25,18.86,19.04,2749209.09
2026-06-18,18.95,19.12,18.53,18.6,3296849.5
2026-06-22,18.45,20.97,18.45,20.97,11039469.96
2026-06-23,20.66,21.88,20.54,20.9,11032420.12
2026-06-24,20.9,21.24,20.1,20.18,7087474.76
2026-06-25,20.04,21.57,20.04,21.11,9040007.51
2026-06-26,20.93,21.17,20.02,20.07,6228008.48
2026-06-29,20.27,20.59,19.93,20.1,5037984.55
2026-06-30,19.95,20.57,19.74,20.38,4303482.89
2026-07-01,20.32,21.96,20.21,21.45,9497600.37
2026-07-02,21.28,21.5,20.7,20.73,5755075.44
