trade_date,Open,High,Low,Close,Volume
2026-02-13,39.54,39.81,38.9,38.97,86926.69
2026-02-24,40.5,41.1,40.0,40.42,173620.39
2026-02-25,40.54,41.01,40.23,40.5,150991.11
2026-02-26,40.36,44.15,39.86,43.45,325220.58
2026-02-27,42.95,43.43,42.25,43.25,196229.86
2026-03-02,43.53,43.95,42.45,42.96,201629.04
2026-03-03,42.95,43.05,38.73,38.78,254794.81
2026-03-04,38.26,39.73,38.2,38.5,163823.0
2026-03-05,39.25,39.4,37.9,38.37,124832.28
2026-03-06,38.07,39.06,37.56,38.56,96722.72
2026-03-09,37.45,37.46,35.74,36.49,180555.35
2026-03-10,37.85,39.49,37.85,39.11,201829.95
2026-03-11,39.19,39.6,38.64,38.96,109239.02
2026-03-12,38.78,39.09,37.77,38.45,88091.31
2026-03-13,38.2,38.28,37.05,37.15,85378.0
2026-03-16,37.16,38.01,36.46,37.73,91211.93
2026-03-17,37.73,37.88,37.0,37.25,72712.01
2026-03-18,37.25,37.93,37.07,37.83,72108.55
2026-03-19,37.34,37.43,36.71,36.85,61639.48
2026-03-20,37.05,37.31,35.94,35.96,67795.25
2026-03-23,35.12,35.26,33.44,33.8,94636.7
2026-03-24,34.54,34.73,33.64,34.66,66432.41
2026-03-25,34.94,35.6,34.94,35.32,59060.24
2026-03-26,35.08,35.22,34.27,34.53,43624.0
2026-03-27,34.01,34.81,33.86,34.48,49598.66
2026-03-30,33.46,34.45,33.46,34.28,49844.46
2026-03-31,34.2,34.88,33.86,33.94,57836.84
2026-04-01,34.84,34.94,33.46,33.78,93073.84
2026-04-02,33.64,33.64,31.41,31.62,145053.02
2026-04-03,31.76,31.95,30.95,31.86,77384.09
2026-04-07,31.89,32.01,30.87,30.95,95526.04
2026-04-08,31.76,32.8,31.51,32.78,161215.0
2026-04-09,32.51,32.51,31.89,32.07,102972.02
2026-04-10,32.26,32.8,32.16,32.32,73185.04
2026-04-13,31.98,32.81,31.88,32.61,83204.3
2026-04-14,32.69,33.44,32.53,33.22,95503.47
2026-04-15,33.62,34.06,33.01,33.07,96363.2
2026-04-16,33.07,33.25,32.86,33.16,76861.7
2026-04-17,33.12,35.13,32.96,34.78,174568.45
2026-04-20,34.79,35.43,34.47,35.1,127916.78
2026-04-21,35.34,35.56,34.84,35.41,90051.03
2026-04-22,35.41,35.99,35.06,35.8,94897.76
2026-04-23,35.76,35.79,34.51,34.8,93214.39
2026-04-24,34.74,35.04,34.36,34.41,67173.35
2026-04-27,34.45,34.9,34.21,34.54,71321.17
2026-04-28,34.61,35.72,34.04,35.16,151879.85
2026-04-29,32.31,33.01,31.71,32.47,267354.05
2026-04-30,32.16,33.06,32.11,32.47,110530.34
2026-05-06,32.86,33.94,32.86,32.96,108234.43
2026-05-07,33.08,33.2,32.52,32.83,96421.06
2026-05-08,32.69,33.55,32.26,33.44,125054.09
2026-05-11,33.94,35.15,33.74,34.5,160485.57
2026-05-12,34.57,34.7,33.49,33.69,103766.95
2026-05-13,33.61,34.36,33.34,34.15,106705.53
2026-05-14,34.21,34.28,32.73,32.75,109998.73
2026-05-15,33.12,33.42,31.96,32.09,97762.6
2026-05-18,31.95,33.48,31.56,32.69,87126.93
2026-05-19,32.56,35.57,32.03,34.88,231088.92
2026-05-20,34.79,35.79,34.55,35.15,199552.81
2026-05-21,35.26,36.46,34.11,34.21,178500.76
2026-05-22,34.5,37.63,34.5,37.63,405031.25
2026-05-25,41.27,41.29,39.06,39.45,556550.34
2026-05-26,39.44,41.03,38.81,40.59,405813.51
2026-05-27,41.3,43.8,40.95,42.96,501229.09
2026-05-28,43.75,47.25,42.96,47.25,512766.58
2026-05-29,48.94,51.38,47.94,48.38,853055.97
2026-06-01,46.48,53.21,46.48,53.21,392988.47
2026-06-02,52.09,58.54,51.44,58.54,480739.22
2026-06-03,59.92,64.39,59.15,63.85,725683.92
2026-06-04,62.61,65.86,60.63,64.47,594645.32
2026-06-05,63.82,64.94,61.1,62.98,455990.64
2026-06-08,58.01,65.8,56.68,56.68,638164.92
2026-06-09,58.27,61.14,52.61,59.62,801746.7
2026-06-10,56.74,59.02,54.61,56.28,503962.35
2026-06-11,56.24,61.91,55.15,61.91,431087.09
2026-06-12,62.83,63.7,57.0,58.15,551102.64
2026-06-15,59.9,63.97,59.9,63.97,181610.28
2026-06-16,68.36,69.36,65.68,67.7,537531.85
2026-06-17,66.3,69.73,65.5,69.71,543768.71
2026-06-18,68.0,74.8,67.4,67.75,472877.79
2026-06-22,67.99,68.88,62.8,65.19,483606.31
2026-06-23,63.5,63.79,59.48,62.09,445717.68
2026-06-24,62.05,68.3,62.05,68.3,170880.34
2026-06-25,72.33,75.13,71.98,75.13,148834.38
2026-06-26,74.6,81.01,73.63,79.49,576974.18
2026-06-29,81.49,87.3,76.5,80.43,452075.04
2026-06-30,80.0,84.88,77.2,83.0,428478.64
2026-07-01,85.6,91.3,84.0,87.5,514657.89
2026-07-02,79.81,83.0,78.75,81.27,406789.36
2026-07-03,81.26,89.4,77.93,85.48,429422.15
2026-07-06,88.0,88.0,76.93,76.93,291061.21
2026-07-07,73.63,76.0,69.24,69.24,371709.93
2026-07-08,69.0,71.88,62.32,62.32,376264.95
2026-07-09,62.9,63.8,58.29,63.5,402104.16
2026-07-10,62.94,67.24,59.3,59.45,339551.55
2026-07-13,57.97,60.38,53.51,53.51,285842.7
2026-07-14,52.88,56.35,50.7,56.01,415520.05
2026-07-15,57.79,58.64,54.23,55.28,251646.65
2026-07-16,55.04,55.04,50.0,50.96,228230.74
2026-07-17,51.64,51.8,46.25,47.23,248249.16
2026-07-20,48.59,48.84,42.51,42.51,205032.48
2026-07-21,43.36,46.76,38.3,46.76,335819.36
2026-07-22,46.6,48.38,43.88,43.99,272972.01
2026-07-23,44.7,48.39,43.9,44.83,326158.1
2026-07-24,44.27,44.35,41.6,42.02,246677.15
2026-07-27,42.86,45.45,41.35,45.1,274285.88
2026-07-28,43.62,43.95,40.59,40.67,227807.0
2026-07-29,40.67,43.19,40.57,42.2,311600.54
2026-07-30,42.98,44.2,39.13,40.12,457845.53
2026-07-31,44.13,44.13,40.5,40.62,566111.88
2026-08-03,40.0,43.29,40.0,41.84,402125.35
2026-08-04,41.92,45.34,40.2,44.64,330480.06
2026-08-05,43.4,49.1,43.4,48.25,430755.7
2026-08-06,47.23,50.04,46.16,48.78,394851.53
2026-08-07,48.78,50.8,46.88,50.25,344669.01
2026-08-10,50.5,52.42,47.61,51.54,332153.76
2026-08-11,49.51,54.8,49.51,50.5,384863.86
2026-08-12,50.46,51.0,48.3,49.42,294953.65
