trade_date,Open,High,Low,Close,Volume
2026-02-09,57.52,57.65,56.77,57.22,366116.88
2026-02-10,57.23,58.8,56.82,58.16,648860.69
2026-02-11,58.16,59.71,58.11,58.66,573680.08
2026-02-12,58.36,59.25,58.26,58.5,348689.8
2026-02-13,58.52,58.81,57.89,57.99,343568.1
2026-02-24,58.07,58.24,57.49,57.77,338981.34
2026-02-25,57.74,57.96,57.35,57.62,421579.37
2026-02-26,57.62,57.86,56.37,56.49,508987.07
2026-02-27,56.39,57.04,56.07,56.33,363641.1
2026-03-02,55.35,55.85,53.98,54.32,742061.95
2026-03-03,54.48,55.11,53.23,53.39,601399.1
2026-03-04,53.0,53.68,52.46,52.76,471518.2
2026-03-05,53.19,54.62,52.88,53.5,484859.84
2026-03-06,53.38,55.44,53.18,55.33,629119.3
2026-03-09,54.56,54.96,53.83,54.72,426233.28
2026-03-10,55.08,56.52,55.08,56.32,473604.92
2026-03-11,56.22,56.32,55.37,55.6,321259.28
2026-03-12,55.57,55.81,55.01,55.08,266691.35
2026-03-13,55.08,55.4,54.73,54.89,244164.44
2026-03-16,54.99,55.82,54.3,55.36,307751.44
2026-03-17,55.46,57.21,55.15,56.07,504110.99
2026-03-18,56.03,56.85,55.79,56.65,393793.11
2026-03-19,55.94,56.8,55.68,55.79,343646.51
2026-03-20,55.96,56.53,54.83,54.92,347395.1
2026-03-23,53.96,54.13,52.2,52.57,487701.57
2026-03-24,53.05,53.52,52.6,53.42,348355.04
2026-03-25,53.78,54.64,53.62,53.88,411525.62
2026-03-26,53.06,53.88,51.33,51.42,649416.53
2026-03-27,51.09,55.25,50.9,54.96,991196.28
2026-03-30,54.51,55.87,54.39,55.53,697270.79
2026-03-31,55.63,57.15,54.98,55.0,692923.92
2026-04-01,55.8,57.55,55.37,57.5,1005516.56
2026-04-02,57.51,58.11,56.78,57.14,765169.85
2026-04-03,56.75,56.76,55.87,56.15,454916.05
2026-04-07,56.28,56.62,54.78,55.89,401466.88
2026-04-08,56.78,57.41,55.68,57.22,734462.9
2026-04-09,56.69,57.73,56.48,56.73,480754.74
2026-04-10,57.27,57.9,56.57,56.83,587794.69
2026-04-13,56.37,56.41,54.79,54.98,796044.38
2026-04-14,55.12,56.08,54.58,55.95,574456.5
2026-04-15,57.7,58.21,56.81,57.5,1029479.51
2026-04-16,57.74,57.76,56.79,57.24,576718.43
2026-04-17,56.97,56.97,55.78,56.1,632523.68
2026-04-20,56.1,56.45,55.6,56.11,433048.62
2026-04-21,56.12,56.53,55.32,55.52,432751.3
2026-04-22,55.37,55.71,54.72,55.21,523563.07
2026-04-23,55.8,57.72,55.8,56.17,963938.0
2026-04-24,56.27,56.52,55.1,55.82,557797.62
