trade_date,Open,High,Low,Close,Volume
2026-02-09,179.73,181.34,178.68,181.24,23579.73
2026-02-10,180.65,183.73,179.14,181.11,24621.83
2026-02-11,180.77,181.55,178.54,178.97,15902.64
2026-02-12,180.96,183.06,179.66,181.78,20271.89
2026-02-13,179.64,183.07,178.59,178.99,27157.88
2026-02-24,180.47,181.29,175.78,177.86,23984.15
2026-02-25,179.08,185.55,177.18,183.07,37464.17
2026-02-26,183.73,188.53,179.63,187.01,38541.64
2026-02-27,177.58,177.74,169.78,171.83,70033.82
2026-03-02,165.11,169.59,165.11,167.38,30922.85
2026-03-03,168.6,170.4,160.78,160.85,36022.62
2026-03-04,159.61,162.28,157.91,157.91,25284.54
2026-03-05,161.82,164.07,159.14,160.93,31096.56
2026-03-06,159.62,162.02,159.62,160.42,15862.81
2026-03-09,156.53,156.53,150.67,154.96,29467.91
2026-03-10,158.61,160.0,156.83,158.96,21826.22
2026-03-11,159.11,160.01,158.21,158.44,17192.88
2026-03-12,157.64,159.0,153.92,154.93,20875.88
2026-03-13,153.47,156.13,151.98,153.12,21666.87
2026-03-16,152.08,157.04,150.16,156.5,27203.46
2026-03-17,156.36,157.58,152.94,153.07,18396.64
2026-03-18,153.87,156.0,152.32,155.49,19575.43
2026-03-19,152.74,153.44,149.65,150.12,21918.62
2026-03-20,151.61,155.43,149.66,149.66,23260.33
2026-03-23,145.72,148.63,143.16,144.42,26787.67
2026-03-24,146.75,148.63,144.94,148.15,24074.67
2026-03-25,148.65,151.26,148.65,149.49,23517.86
2026-03-26,147.65,148.53,140.52,141.7,47638.07
2026-03-27,139.07,143.66,138.23,142.65,31913.69
2026-03-30,139.73,146.55,138.97,144.16,40505.27
2026-03-31,147.04,147.45,140.87,141.28,25931.74
2026-04-01,145.66,145.66,142.99,144.85,27707.98
2026-04-02,144.85,144.86,138.67,139.77,23571.71
2026-04-03,140.53,141.45,138.75,139.41,15099.77
2026-04-07,140.36,142.14,139.73,140.5,18274.35
2026-04-08,146.65,150.63,145.26,150.63,42717.49
2026-04-09,148.23,154.51,147.71,150.97,40578.69
2026-04-10,153.3,156.23,152.31,153.54,35715.36
2026-04-13,151.63,154.61,150.64,152.79,28287.18
