trade_date,Open,High,Low,Close,Volume
2026-02-09,52.44,55.97,52.38,55.15,525360.43
2026-02-10,54.97,56.17,54.36,55.59,379990.1
2026-02-11,55.16,58.58,55.16,56.57,496622.43
2026-02-12,56.47,59.07,56.17,58.33,525693.18
2026-02-13,57.12,58.12,55.77,55.79,337369.74
2026-02-24,57.47,58.47,56.48,57.77,433793.85
2026-02-25,58.25,63.54,57.86,62.67,1015526.06
2026-02-26,62.65,62.86,60.17,60.3,556531.76
2026-02-27,60.12,65.16,60.12,64.94,769467.27
2026-03-02,64.64,65.9,60.85,63.47,965623.4
2026-03-03,62.46,63.04,57.38,57.43,746536.03
2026-03-04,56.23,61.08,55.98,59.17,561981.02
2026-03-05,59.56,60.11,57.57,58.35,393947.77
2026-03-06,57.64,59.09,56.66,57.47,361526.57
2026-03-09,56.34,57.86,54.7,57.31,361195.27
2026-03-10,57.62,58.23,56.75,57.42,305506.39
2026-03-11,56.83,57.16,54.77,54.87,463058.44
2026-03-12,54.67,55.35,53.06,54.19,402424.22
2026-03-13,53.93,54.6,52.85,52.99,257998.88
2026-03-16,53.29,53.41,50.97,51.7,278362.43
2026-03-17,51.96,52.23,50.32,50.36,239558.75
2026-03-18,50.72,50.72,49.37,50.34,240336.48
2026-03-19,49.18,49.43,47.63,47.84,327264.41
2026-03-20,47.84,48.25,46.46,46.49,282250.75
2026-03-23,45.47,47.52,44.95,46.02,388608.18
2026-03-24,46.7,46.97,44.97,46.48,321913.48
2026-03-25,47.37,48.13,46.97,47.87,394250.86
2026-03-26,47.47,47.5,46.18,46.36,223781.63
2026-03-27,45.63,48.77,45.55,48.27,415988.64
2026-03-30,47.67,48.53,47.07,47.93,250790.71
2026-03-31,47.97,48.68,47.56,47.96,242924.9
2026-04-01,48.81,48.83,47.68,48.25,239310.94
2026-04-02,48.15,48.15,46.82,47.22,201176.87
2026-04-03,47.16,47.69,46.88,46.97,155039.45
2026-04-07,46.97,49.02,46.68,48.76,358402.56
2026-04-08,49.95,50.82,49.72,50.81,398222.71
2026-04-09,50.35,52.72,50.15,51.68,388810.14
2026-04-10,52.2,52.83,51.6,51.98,314077.2
2026-04-13,53.27,53.27,52.12,52.17,331502.09
2026-04-14,52.71,52.77,50.37,51.01,316219.99
2026-04-15,51.43,52.21,50.29,50.61,248599.16
2026-04-16,50.96,51.95,50.3,51.66,250106.59
2026-04-17,51.33,52.72,51.23,52.08,227008.53
2026-04-20,51.87,54.42,51.76,54.32,427028.62
2026-04-21,53.97,56.77,53.58,55.24,425027.57
2026-04-22,54.8,55.44,53.95,55.15,293240.01
2026-04-23,54.97,55.08,50.97,51.08,556275.09
2026-04-24,51.04,51.38,50.06,51.13,291702.72
2026-04-27,50.82,51.07,49.97,50.06,218890.64
2026-04-28,50.97,51.11,48.77,49.09,219386.71
2026-04-29,49.97,54.0,49.87,54.0,596886.22
2026-04-30,54.32,55.17,53.47,54.41,571129.21
2026-05-06,54.36,55.76,53.37,55.58,533199.05
2026-05-07,55.37,55.96,54.84,55.56,346465.67
2026-05-08,54.97,55.33,54.25,55.22,321864.02
2026-05-11,55.97,58.6,55.73,58.12,634024.03
2026-05-12,58.11,58.11,55.22,55.77,451210.84
2026-05-13,55.62,57.19,55.48,56.84,363848.2
2026-05-14,56.97,56.97,54.01,54.22,354302.57
2026-05-15,54.12,58.97,53.98,55.85,634531.45
2026-05-18,54.47,54.77,52.97,53.35,410602.21
2026-05-19,53.25,53.34,50.65,51.58,333546.02
2026-05-20,51.47,53.27,50.03,52.36,403139.53
2026-05-21,52.12,53.72,50.96,51.13,331559.14
2026-05-22,51.15,51.96,50.67,51.48,213551.29
2026-05-25,51.92,52.97,50.57,51.39,263890.1
2026-05-26,50.96,51.27,49.64,51.2,282622.2
2026-05-27,50.97,51.62,49.01,49.3,262779.98
2026-05-28,49.29,51.96,48.87,51.75,362212.35
2026-05-29,51.1,52.23,48.77,48.77,353200.54
2026-06-01,48.77,49.55,48.1,48.82,198099.15
2026-06-02,48.77,50.47,47.4,49.9,296254.34
2026-06-03,49.77,53.34,49.17,52.94,591565.07
2026-06-04,52.45,54.97,51.6,53.61,507326.21
2026-06-05,52.97,55.97,52.48,54.29,487646.58
2026-06-08,51.97,54.94,51.33,51.7,483190.9
2026-06-09,52.47,55.95,51.88,55.49,661806.77
2026-06-10,54.77,56.65,53.67,54.05,423151.83
2026-06-11,54.36,54.93,53.07,53.76,337388.11
2026-06-12,54.45,59.14,53.85,56.01,876580.26
2026-06-15,56.02,58.84,54.97,58.37,826516.19
2026-06-16,57.27,62.92,56.71,60.94,1021918.33
2026-06-17,59.87,61.64,57.9,59.06,714262.39
2026-06-18,58.57,63.36,58.49,61.86,780916.3
2026-06-22,62.86,66.84,61.46,66.26,1001076.75
2026-06-23,64.96,64.96,59.64,59.64,784935.87
2026-06-24,59.13,59.85,56.77,58.25,686645.57
2026-06-25,57.68,58.98,56.3,57.61,524737.16
2026-06-26,57.47,57.93,54.67,54.85,505795.64
2026-06-29,54.87,55.77,52.86,54.29,403639.26
2026-06-30,53.96,55.57,52.98,55.46,369145.12
2026-07-01,54.97,56.17,53.17,53.5,439388.54
2026-07-02,52.89,55.4,51.68,53.17,475963.2
2026-07-03,53.8,56.32,52.7,54.45,562430.47
2026-07-06,54.45,55.25,51.0,51.14,511668.99
2026-07-07,51.0,52.0,50.42,50.74,277009.64
2026-07-08,50.5,50.61,48.66,48.66,335801.73
2026-07-09,48.54,49.15,45.51,48.29,476411.67
2026-07-10,48.07,49.31,47.33,47.82,318114.99
2026-07-13,47.72,47.72,44.95,44.98,309996.46
2026-07-14,44.92,47.4,44.66,47.38,356156.82
2026-07-15,47.75,47.75,45.8,46.22,249554.29
2026-07-16,45.0,46.27,44.92,45.54,172073.29
2026-07-17,45.5,46.2,44.7,45.65,273509.36
2026-07-20,45.55,47.75,45.3,47.17,343152.81
2026-07-21,47.1,49.93,47.0,49.88,434110.23
2026-07-22,49.01,49.5,48.4,49.36,334017.18
2026-07-23,48.88,50.29,48.65,49.78,265264.27
2026-07-24,48.99,48.99,47.57,47.6,215087.74
2026-07-27,47.35,48.09,47.32,48.06,159033.95
2026-07-28,47.2,47.47,46.66,46.78,169323.59
2026-07-29,46.46,48.38,46.0,48.03,220417.02
2026-07-30,47.7,48.38,46.83,47.4,171309.1
2026-07-31,48.0,48.96,47.78,47.82,213901.1
2026-08-03,47.66,49.25,47.1,48.78,213776.63
2026-08-04,48.78,49.39,48.58,49.16,193326.84
2026-08-05,50.18,51.99,50.12,51.6,406339.31
2026-08-06,51.6,53.27,51.07,51.99,401703.39
2026-08-07,51.55,57.19,51.5,57.19,608092.42
